transaction_id,merchant,amount,date
txn_1064,"Garcia, Pearson and Fernandez",13627.55,2026-08-15
txn_1065,Novak and Sons,34981.28,2026-08-18
txn_1066,Russell Group,24590.23,2026-08-07
txn_1067,Hancock Inc,48451.11,2026-08-19
txn_1068,Gray Group,16023.44,2026-08-02
txn_1069,House-Glover,25391.09,2026-08-17
txn_1070,Henderson-Bernard,48058.56,2026-08-03
txn_1071,"Stanley, Tucker and Lee",20486.89,2026-08-19
txn_1072,Novak PLC,29928.7,2026-08-20
txn_1073,"Daniels, Adkins and Brown",33039.97,2026-08-19
txn_1074,"Woods, Calhoun and Schmidt",46767.96,2026-08-07
txn_1075,Yu Inc,16052.1,2026-08-09
txn_1076,Jones Inc,33748.67,2026-08-10
txn_1077,"Hensley, Powell and David",46486.41,2026-08-03
txn_1078,"Sanchez, Wheeler and Harvey",31247.38,2026-08-19
txn_1079,Sandoval-Cunningham,4126.41,2026-08-07
txn_1080,Donovan-Harris,7056.6,2026-08-12
txn_1081,Allen-Foster,22190.14,2026-08-18
txn_1082,"Brewer, Bryant and Hickman",49368.04,2026-08-21
txn_1083,Smith PLC,33559.23,2026-08-18
txn_1084,"Ferrell, Jones and Lewis",33337.74,2026-08-05
txn_1085,Anderson-Bailey,44540.78,2026-08-18
txn_1086,Suarez LLC,14446.94,2026-08-07
txn_1087,Moore-Bass,31894.78,2026-08-09
txn_1088,"Turner, Riggs and Roman",12930.5,2026-08-02
txn_1089,"Smith, Montoya and Evans",21467.0,2026-08-09
txn_1090,"Garcia, Humphrey and Baker",17011.05,2026-08-05
txn_1091,Newton and Sons,13466.79,2026-08-15
txn_1092,Campbell-Clark,21670.5,2026-08-01
txn_1093,Harris-Walters,47280.02,2026-08-05
txn_1094,Wagner-King,41812.45,2026-08-19
txn_1095,Davis Group,21774.44,2026-08-02
txn_1096,Williams-Cook,44999.58,2026-08-02
txn_1097,"Whitney, Martin and Ramos",18007.09,2026-08-18
txn_1098,Hoffman-Rodriguez,46325.31,2026-08-08
txn_1099,"Mckee, Gardner and Davenport",1726.92,2026-08-11
txn_1100,"Tran, Jordan and Williams",33660.4,2026-08-08
txn_1101,Nolan-Flynn,39475.04,2026-08-04
txn_1102,Nolan and Sons,2416.87,2026-08-16
txn_1103,"Wright, Garcia and Deleon",40921.04,2026-08-15
txn_1104,Dickson-Brady,41116.55,2026-08-08
txn_1105,Hancock and Sons,33171.64,2026-08-13
txn_1106,Johnson-Doyle,43285.47,2026-08-09
txn_1107,Patton-Jenkins,25715.58,2026-08-18
txn_1108,"Shields, Cochran and Adams",1866.23,2026-08-09
txn_1109,"Rodriguez, Brennan and Garrison",48145.45,2026-08-09
txn_1110,Gonzalez Group,30030.28,2026-08-12
txn_1111,Torres-Pope,30507.34,2026-08-17
txn_1112,Walker Ltd,45025.48,2026-08-07
txn_1113,Ross LLC,35584.87,2026-08-01
txn_1114,Rasmussen LLC,40422.29,2026-08-07
txn_1115,May-Ross,3963.7,2026-08-11
txn_1116,"Rivera, Johnson and Wiley",33337.68,2026-08-04
txn_1117,White-Estes,15809.59,2026-08-14
txn_1118,Johnson-Carlson,35011.82,2026-08-18
txn_1119,Chandler-Edwards,21312.09,2026-08-13
txn_1120,"Joyce, Wilson and Lam",45188.87,2026-08-20
txn_1121,Scott Ltd,20600.72,2026-08-01
txn_1122,Smith-Frost,10904.04,2026-08-19
txn_1123,"Mcdaniel, Bentley and Mclaughlin",16451.34,2026-08-15
txn_1124,Diaz Inc,11078.22,2026-08-16
txn_1125,"Mccall, Hanson and Alvarado",36930.09,2026-08-03
txn_1126,Cortez LLC,33360.76,2026-08-20
txn_1127,"Parker, Ortiz and Powell",41011.96,2026-08-08
txn_1128,Spencer-Lee,11619.71,2026-08-07
txn_1129,"Bentley, Byrd and Orr",2787.58,2026-08-16
txn_1130,"Carroll, Sullivan and Bass",38540.22,2026-08-15
txn_1131,Mitchell-Jordan,31673.39,2026-08-07
txn_1132,"Lawson, Morris and Ramos",20282.82,2026-08-05
txn_1133,"Lewis, Kennedy and Santana",774.47,2026-08-04
txn_1134,"Jackson, Miller and Robertson",40303.44,2026-08-17
txn_1135,"Harvey, Davis and Crane",28091.59,2026-08-04
txn_1136,Chambers and Sons,40170.12,2026-08-17
txn_1137,Hernandez Inc,29974.89,2026-08-15
txn_1138,Riggs PLC,36104.06,2026-08-17
txn_1139,Gibson Ltd,45389.31,2026-08-15
txn_1140,Higgins Group,37712.95,2026-08-21
txn_1141,Ross-Hernandez,38994.9,2026-08-16
txn_1142,"Smith, Potter and Carrillo",14092.57,2026-08-03
txn_1143,Osborne and Sons,17124.45,2026-08-18
txn_1144,Brock Ltd,7966.12,2026-08-13
txn_1145,"Marshall, Grant and Lowery",35467.75,2026-08-03
txn_1146,Bryant Group,16878.63,2026-08-15
txn_1147,"Schmidt, Hansen and Stewart",10738.3,2026-08-14
txn_1148,Salazar-Ball,38604.89,2026-08-01
txn_1149,Rivas-Kelley,47165.71,2026-08-10
txn_1150,Manning Group,47694.8,2026-08-14
txn_1151,Green-Wright,36864.39,2026-08-20
txn_1152,Cannon-Boyd,1936.73,2026-08-11
txn_1153,"Allen, Gonzales and Reeves",40008.05,2026-08-06
txn_1154,Rogers-Orozco,45392.98,2026-08-19
txn_1155,Taylor and Sons,1841.55,2026-08-21
txn_1156,Benson-Mccarthy,43409.14,2026-08-06
txn_1157,Perry LLC,19265.64,2026-08-07
txn_1158,"Owens, Brown and Wall",17206.28,2026-08-13
txn_1159,Stein-Silva,47584.6,2026-08-14
txn_1160,"Smith, Gilmore and Johnston",4554.36,2026-08-01
txn_1161,Smith-Bell,47620.02,2026-08-08
txn_1162,Castaneda-Ashley,39171.04,2026-08-21
txn_1163,Medina-Navarro,2035.98,2026-08-08
txn_1164,"Hurst, Freeman and Nelson",1508.81,2026-08-05
txn_1165,Johnson-Rogers,23941.27,2026-08-04
txn_1166,"Yates, Ramsey and Pittman",11289.24,2026-08-09
txn_1167,Hooper PLC,30558.75,2026-08-04
txn_1168,Meadows PLC,15896.43,2026-08-19
txn_1169,"Alvarado, Miller and Patterson",15941.88,2026-08-13
txn_1170,White-Green,35893.23,2026-08-03
txn_1171,Lewis-Murphy,41613.3,2026-08-08
txn_1172,Ramirez-Bean,38737.8,2026-08-20
txn_1173,King-Miller,28513.66,2026-08-02
txn_1174,Curry Inc,21704.71,2026-08-12
txn_1175,Walker-Jones,32553.39,2026-08-01
txn_1176,Webster and Sons,31961.46,2026-08-15
txn_1177,Combs PLC,36822.87,2026-08-21
txn_1178,Allen Group,40505.86,2026-08-18
txn_1179,"Wilson, Gould and Marshall",41373.86,2026-08-19
txn_1180,Wang-Jackson,42659.8,2026-08-03
txn_1181,"Stuart, Higgins and Strickland",22814.7,2026-08-15
txn_1182,Oconnell Inc,33575.33,2026-08-11
txn_1183,"Johnson, Collins and Byrd",42622.17,2026-08-06
txn_1184,Sanders-Espinoza,18063.84,2026-08-09
txn_1185,Vargas Ltd,44075.84,2026-08-09
txn_1186,Garcia LLC,26073.05,2026-08-07
txn_1187,"Burke, Martinez and Riggs",36143.7,2026-08-16
txn_1188,Reed Group,12396.03,2026-08-16
txn_1189,"Wood, Hunter and Peterson",24795.66,2026-08-01
txn_1190,Short-Garcia,11469.02,2026-08-08
txn_1191,Reid-Poole,29287.0,2026-08-16
txn_1192,"Hernandez, Thompson and Boyd",17515.99,2026-08-18
txn_1193,"Nelson, Morton and Medina",35291.32,2026-08-09
txn_1194,Marshall-Petersen,11911.63,2026-08-07
txn_1195,"Adams, Christian and Rivas",37272.61,2026-08-06
txn_1196,Ramirez Group,37060.93,2026-08-09
txn_1197,Christensen PLC,26469.53,2026-08-10
txn_1198,"Barnett, Rogers and Snyder",41715.1,2026-08-10
txn_1199,White-Lewis,9382.36,2026-08-01
txn_1000,"Rodriguez, Figueroa and Sanchez",32151.63,2026-08-01
txn_1001,Doyle Ltd,7407.13,2026-08-04
txn_1002,"Mcclain, Miller and Henderson",44662.89,2026-08-03
